year,sector,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
2004,31-33,273530,318476,13722079,13872301,22185,6.917000000000002,26717,8.33,1318847,333492,985355,2.404,9.507,1618175,504440,1113735,3.636,11.665,-299328,-2.158,19.014,19159,19370,206116
2005,31-33,269305,313809,13650122,13666107,22137,7.0139999999999985,25782,8.168,1393899,315434,1078465,2.3080000000000003,10.2,1424669,437887,986782,3.204,10.425,-30770,-0.225,20.399,18797,18978,196552
2006,31-33,268640,313572,13611611,13605115,25088,7.987999999999999,26083,8.305,1384237,347614,1036623,2.555,10.174,1369870,430065,939805,3.161,10.069,14367,0.106,20.138,19809,19971,194870
2007,31-33,269146,313934,13337202,13482376,21767,6.902,24650,7.816,1247790,291604,956186,2.1630000000000003,9.255,1542179,467217,1074962,3.465,11.438,-294389,-2.184,18.51,17569,17765,195361
2008,31-33,260613,304221,12920822,13079181,19123,6.228,24799,8.076,1143621,262179,881442,2.005,8.744,1459689,434227,1025462,3.32,11.16,-316068,-2.417,17.488,18236,18409,192701
2009,31-33,250392,292784,11559307,12239036,16499,5.525,28185,9.438,801899,231452,570447,1.891,6.5520000000000005,2165507,454968,1710539,3.717,17.692999999999994,-1363608,-11.140999999999998,13.104,19857,20052,196507
2010,31-33,241529,282700,10829797,11181399,16326,5.674,26369,9.165,827394,198955,628439,1.779,7.4,1529724,384721,1145003,3.4410000000000003,13.681,-702330,-6.2810000000000015,14.799,18105,18241,152049
2011,31-33,238562,279265,10926328,10857169,17950,6.385,21706,7.721,1064014,194516,869498,1.7919999999999998,9.8,925748,271019,654729,2.496,8.527000000000001,138266,1.273,17.053,15406,15571,125650
2012,31-33,239601,280127,11159235,11063882,18168,6.473,19303,6.877000000000002,1086426,188172,898254,1.7009999999999998,9.82,894905,260242,634663,2.352,8.089,191521,1.731,16.177,13435,13576,128847
2013,31-33,235157,275190,11214938,11171443,16866,6.104,19150,6.93,990881,186148,804733,1.666,8.87,905803,271143,634660,2.427,8.107999999999999,85078,0.762,16.215999999999998,13645,13765,125657
2014,31-33,235435,275989,11347152,11283381,17551,6.353,18060,6.5379999999999985,1038907,221764,817143,1.965,9.207,908518,251444,657074,2.228,8.052,130389,1.156,16.104,13231,13320,117974
2015,31-33,234928,276196,11539467,11439057,18086,6.55,17973,6.509,1075047,227176,847871,1.986,9.398,872833,233643,639190,2.043,7.63,202214,1.768,15.261,13451,13546,121532
2016,31-33,234204,276174,11536552,11536199,18019,6.524,18063,6.54,967719,190813,776906,1.654,8.389,965067,238171,726896,2.065,8.366,2652,0.023,16.730999999999998,13820,13929,122071
2017,31-33,232123,274795,11668574,11612996,17643,6.401,19320,7.009,1106455,220705,885750,1.901,9.528,995971,293402,702569,2.526,8.576,110484,0.951,17.153,14403,14561,150351
2018,31-33,230134,273966,11859412,11761940,17762,6.477,18321,6.681,1113145,252297,860848,2.145,9.464,921075,236593,684482,2.012,7.831,192070,1.633,15.662,15097,15242,137979
1978,42,245096,318821,3949115,3822742,41445,13.207,31418,10.012,845431,302402,543029,7.911,22.116,592783,282148,310635,7.381,15.507,252648,6.609,31.014,18726,19143,104858
1979,42,255813,331097,4224051,4114260,37373,11.406,30501,9.309,808462,276054,532408,6.71,19.65,588559,248434,340125,6.0379999999999985,14.305,219903,5.345,28.611,18291,18663,98474
1980,42,258678,335967,4283386,4263996,36091,10.805,32217,9.645,688646,253380,435266,5.942,16.15,650180,242015,408165,5.676,15.248,38466,0.902,30.496,20441,20921,113808
1981,42,268756,347948,4378853,4329656,41115,12.026,28979,8.476,743309,297669,445640,6.875,17.168,645199,211229,433970,4.879,14.902,98110,2.266,29.804,17627,18139,94355
1982,42,273319,353362,4378355,4384775,39170,11.134,36029,10.242,764284,265931,498353,6.065,17.43,778366,263625,514741,6.0120000000000005,17.752,-14082,-0.321,34.861,22485,23006,119479
1983,42,276829,355716,4239074,4308581,39325,11.098,36578,10.323,659534,228528,431006,5.3039999999999985,15.307,796479,262277,534202,6.0870000000000015,18.486,-136945,-3.178,30.615,23224,23816,131726
1984,42,282496,362167,4511092,4379708,41127,11.456,34764,9.684,844270,268849,575421,6.1389999999999985,19.277,581026,224455,356571,5.125,13.265999999999998,263244,6.011,26.533,23498,24048,122829
1985,42,284906,365182,4665087,4597521,42508,11.686,39616,10.890999999999998,848187,279995,568192,6.09,18.449,714529,315870,398659,6.87,15.542,133658,2.907,31.083,27218,27878,180582
1986,42,288114,369905,4728889,4704157,44116,11.995,39899,10.848,820686,281990,538696,5.994,17.445999999999998,769233,294765,474468,6.266,16.352,51453,1.094,32.704,26397,26980,150230
1987,42,292140,374441,4858865,4824623,45373,12.130999999999998,44547,11.91,923264,328327,594937,6.805,19.137,853250,348998,504252,7.234,17.685,70014,1.4509999999999998,35.371,27370,28099,166902
1988,42,296187,380217,4966745,4928104,44821,11.863,40057,10.602,905822,313467,592355,6.3610000000000015,18.381,831422,340266,491156,6.905,16.871,74400,1.51,33.742,26596,27443,175630
1989,42,298171,383796,5118922,5046322,42967,11.249,39285,10.285,916441,298002,618439,5.905,18.161,770415,324309,446106,6.4270000000000005,15.267,146026,2.894,30.534,26498,27365,162581
1990,42,300183,387911,5224595,5171244,42181,10.934,37911,9.827,860111,288651,571460,5.582000000000002,16.633,754146,281712,472434,5.448,14.583,105965,2.049,29.167,26388,27281,164878
1991,42,288414,377179,4938879,5019527,41736,11.067,41643,11.042,737998,273852,464146,5.456,14.703,902228,354432,547796,7.061,17.974,-164230,-3.272,29.405,27922,28825,210283
1992,42,301688,387728,4988449,5016123,40577,10.443,42234,10.869000000000002,811161,260682,550479,5.197,16.171,866510,326400,540110,6.5070000000000014,17.274,-55349,-1.103,32.342,25308,26393,144235
1993,42,305410,390811,5047739,5011779,40620,10.431,37806,9.709,789557,242657,546900,4.842,15.754,717105,251338,465767,5.015,14.308,72452,1.446,28.617,25214,25923,138349
1994,42,309336,395330,5180244,5136862,40913,10.387,38035,9.656,800593,237358,563235,4.621,15.585,712451,259995,452456,5.061,13.869000000000002,88142,1.716,27.739,25798,26688,143430
1995,42,314564,402430,5413879,5296190,42763,10.72,35737,8.959,888698,281197,607501,5.309,16.78,652756,237642,415114,4.487,12.325,235942,4.455,24.65,24858,25731,142380
1996,42,318190,406708,5413951,5392660,43639,10.785,39447,9.749,831429,263407,568022,4.885,15.418,789664,295832,493832,5.4860000000000015,14.643,41765,0.774,29.287,26343,27233,161763
1997,42,314694,397796,5386622,5329288,42025,10.545,43478,10.91,936873,275634,661239,5.1720000000000015,17.58,822906,336228,486678,6.309,15.441,113967,2.139,30.882,27711,28708,172299
1998,42,315795,399932,5589389,5521230,40064,10.022,39701,9.931,925807,287650,638157,5.21,16.768,785179,290171,495008,5.256,14.220999999999998,140628,2.547,28.442,26091,27042,154760
1999,42,312561,398528,5673442,5640699,36628,9.167,38667,9.678,852787,257646,595141,4.5680000000000005,15.118,786860,296173,490687,5.251,13.95,65927,1.169,27.899,26180,27408,164149
2000,42,311099,397934,5821156,5763489,37889,9.507,39132,9.818,950378,311083,639295,5.397,16.49,837140,348757,488383,6.051,14.525,113238,1.965,29.05,25092,26250,156819
2001,42,308022,398385,5947422,5911508,39562,9.928,39739,9.973,975446,365152,610294,6.1770000000000005,16.500999999999998,902337,333348,568989,5.6389999999999985,15.264,73109,1.237,30.528,25252,26381,163180
2002,42,306516,398786,5796957,5957671,38586,9.57,47428,11.763,918013,332544,585469,5.582000000000002,15.409,1235982,480722,755260,8.068999999999999,20.746,-317969,-5.3370000000000015,30.818,27056,28744,241818
2003,42,305080,394534,5812134,5792886,36821,9.297,39851,10.062,888587,289554,599033,4.998,15.339,849500,303242,546258,5.235,14.665,39087,0.675,29.329,24541,25333,138406
2004,42,303453,395135,5902561,5865880,36133,9.16,34783,8.818,858984,288231,570753,4.914,14.644,788142,290490,497652,4.952,13.436,70842,1.208,26.872,23012,23735,132248
2005,42,304642,398060,5959965,5952810,35702,8.981,34641,8.714,802668,252343,550325,4.239,13.484000000000002,787859,258126,529733,4.336,13.235,14809,0.249,26.47,23596,24337,129148
2006,42,305334,402214,6034933,5998739,40208,10.045,36376,9.087,854899,291315,563584,4.856,14.251,782932,269729,513203,4.496,13.052,71967,1.2,26.103,24834,25558,141381
2007,42,301906,400934,6106904,6127463,36169,9.013,36910,9.198,878351,270867,607484,4.421,14.335,920613,322074,598539,5.256,15.024,-42262,-0.69,28.669,22954,23579,131188
2008,42,298402,398391,6107783,6118712,34559,8.644,37397,9.354,834444,250717,583727,4.098,13.638,860345,289720,570625,4.735,14.061,-25901,-0.423,27.275,23698,24517,132532
2009,42,290655,392042,5809298,5980157,30026,7.569,39292,9.905,634912,200420,434492,3.3510000000000004,10.617,976153,283708,692445,4.744,16.323,-341241,-5.706,21.234,25358,26072,140670
2010,42,284062,386243,5592144,5698861,30782,7.916,35987,9.255,616046,208522,407524,3.659,10.81,827643,234793,592850,4.12,14.523,-211597,-3.713,21.62,23055,23833,122109
2011,42,281584,386376,5632262,5613231,32210,8.332,32587,8.43,688656,208188,480468,3.709,12.268,650014,222223,427791,3.959,11.58,38642,0.688,23.16,21325,21968,105937
2012,42,283584,387490,5752712,5707028,31187,8.029,33059,8.511000000000001,785695,200316,585379,3.51,13.767,691765,222791,468974,3.904,12.121,93930,1.646,24.243,19140,19799,101159
2013,42,282163,387747,5875555,5820575,31523,8.129,31551,8.137,795482,243838,551644,4.189,13.667,684891,236697,448194,4.067,11.767,110591,1.9,23.533,19870,20368,105878
2014,42,280724,387311,5943501,5902157,29867,7.707000000000002,30280,7.814,708723,181005,527718,3.067,12.008,624778,228060,396718,3.864,10.586,83945,1.422,21.171,19446,19958,100954
2015,42,278509,385740,6051924,5995164,28989,7.499,30641,7.926,709287,195947,513340,3.268,11.831,593773,200288,393485,3.341,9.904,115514,1.927,19.808,20075,20574,104073
2016,42,275643,385888,6104940,6093168,29553,7.655,29883,7.741,673405,187335,486070,3.075,11.052,649727,219296,430431,3.599,10.663,23678,0.389,21.326,20504,21177,111955
2017,42,271211,381633,6114473,6098333,27364,7.131,31511,8.212,746561,187022,559539,3.067,12.242,712879,246888,465991,4.048,11.69,33682,0.552,23.379,20697,21347,118020
2018,42,266686,374967,6166673,6139061,24380,6.447,30759,8.134,679211,157771,521440,2.57,11.064,623292,207681,415611,3.383,10.153,55919,0.911,20.306,21348,22241,120805
1978,44-45,731989,983956,9765832,9416833,140211,14.392,120737,12.393,2168750,926810,1241940,9.842,23.031,1474417,682060,792357,7.2429999999999986,15.657,694333,7.372999999999998,31.314,77419,79294,312135
1979,44-45,743360,1001208,10207909,10010932,126130,12.695,110792,11.151,1899004,784186,1114818,7.832999999999998,18.969,1502114,607695,894419,6.07,15.005,396890,3.965,30.009,72224,73880,298836
1980,44-45,737786,1005348,10118827,10194961,119079,11.865,115632,11.521,1636000,783462,852538,7.685,16.047,1778797,589744,1189053,5.785,17.448,-142797,-1.401,32.094,78582,80843,334759
1981,44-45,732898,1012684,10086313,10096542,112946,11.207,103224,10.242,1596708,732381,864327,7.254,15.814,1614542,514351,1100191,5.0939999999999985,15.991,-17834,-0.177,31.629,66660,69388,279518
1982,44-45,713229,1007910,10010272,10040338,120493,11.935,123863,12.269,1701547,749837,951710,7.468,16.947,1760871,623951,1136920,6.214,17.538,-59324,-0.591,33.894,83591,86469,343113
1983,44-45,721731,1017836,10014854,10033925,118465,11.692,109303,10.787,1668423,714409,954014,7.12,16.628,1708197,655185,1053012,6.53,17.024,-39774,-0.396,33.256,69518,72331,308093
1984,44-45,733177,1035715,10657822,10342303,124978,12.169,107537,10.470999999999998,1966525,786723,1179802,7.607,19.014,1333266,539362,793904,5.215,12.890999999999998,633259,6.122999999999998,25.783,74033,76383,305373
1985,44-45,727285,1030521,11100735,10876234,124774,12.079,129773,12.562,2009779,806402,1203377,7.414,18.479,1560654,736035,824619,6.767,14.349,449125,4.129,28.698,87309,90848,418225
1986,44-45,727703,1046173,11514310,11315524,135578,13.059,119654,11.525,2187619,981051,1206568,8.67,19.333,1795714,682681,1113033,6.033,15.869000000000002,391905,3.463,31.739,80646,83583,370576
1987,44-45,721023,1049004,11836217,11660499,136146,13.019,129644,12.397,2315354,1021119,1294235,8.757,19.856,1961717,845412,1116305,7.25,16.824,353637,3.033,33.647,81806,84938,409119
1988,44-45,727148,1066761,12209898,12051074,134153,12.663,119477,11.278,2313276,1021516,1291760,8.477,19.196,1997956,793196,1204760,6.582000000000002,16.579,315320,2.617,33.158,76973,80598,386046
1989,44-45,729342,1079885,12612850,12417541,127875,11.911,115282,10.738,2250931,966251,1284680,7.7810000000000015,18.127,1868090,706519,1161571,5.69,15.044,382841,3.083,30.088,77546,82127,401704
1990,44-45,725885,1084149,12842061,12733066,120605,11.145,116683,10.782,2102968,884434,1218534,6.9460000000000015,16.516,1884897,702891,1182006,5.52,14.803,218071,1.713,29.606,79454,84117,415680
1991,44-45,707320,1067389,12474185,12658401,110448,10.271,126349,11.75,1825512,811396,1014116,6.41,14.421,2196609,819696,1376913,6.476,17.352999999999998,-371097,-2.932,28.843000000000004,82491,87566,479111
1992,44-45,684632,1039354,12206531,12279894,108486,10.358,124538,11.89,1841520,785017,1056503,6.393,14.996,1989419,745821,1243598,6.074,16.201,-147899,-1.204,29.992,73744,78231,368654
1993,44-45,685739,1036417,12513580,12359810,104040,10.023,107154,10.323,2000901,811173,1189728,6.563,16.189,1702429,629035,1073394,5.089,13.774,298472,2.415,27.548,65693,69084,316203
1994,44-45,686221,1042695,12950220,12763163,107573,10.333,104273,10.016,2053068,863456,1189612,6.765,16.086,1681237,621841,1059396,4.872,13.173,371831,2.9130000000000003,26.345,67246,70742,314982
1995,44-45,688493,1046182,13421721,13186977,108599,10.399,104873,10.042,2131358,909239,1222119,6.895,16.163,1657622,675179,982443,5.12,12.57,473736,3.592,25.14,64524,68498,300446
1996,44-45,677235,1038932,13491780,13389775,107007,10.32,102871,9.921,2070931,879088,1191843,6.565,15.467,1877807,667425,1210382,4.985,14.024,193124,1.442,28.048,66510,70083,329657
1997,44-45,670865,1036877,13928461,13764796,110041,10.586,115376,11.099,2361288,915543,1445745,6.651,17.155,2038200,747261,1290939,5.4289999999999985,14.807,323088,2.347,29.615,68225,73340,348698
1998,44-45,674189,1042829,14314426,14165484,100141,9.607,99338,9.529,2187539,833890,1353649,5.8870000000000005,15.443,1883217,669803,1213414,4.728,13.294,304322,2.148,26.589,60103,63754,302786
1999,44-45,667353,1038166,14532514,14429450,95104,9.141,99570,9.57,2102340,785029,1317311,5.44,14.57,1900293,639342,1260951,4.431,13.17,202047,1.4,26.339,61073,64910,320554
2000,44-45,664346,1039355,14902448,14726423,97688,9.402,97038,9.339,2223160,843433,1379727,5.727,15.095999999999998,1863083,731245,1131838,4.966,12.651,360077,2.445,25.303,58888,62721,322817
2001,44-45,660139,1036360,14889630,14916701,93460,8.988999999999997,100109,9.629,2035309,790835,1244474,5.3020000000000005,13.644,2099646,727604,1372042,4.878,14.076,-64337,-0.431,27.289,61047,66217,339768
2002,44-45,645690,1022070,14577148,14635790,108624,10.613,111543,10.898,2251832,993910,1257922,6.791,15.386,2379310,822020,1557290,5.617000000000001,16.257,-127478,-0.871,30.772,65974,72276,459472
2003,44-45,652575,1029813,14903174,14766048,102516,9.985,96360,9.385,2108628,783162,1325466,5.3039999999999985,14.28,1833181,635288,1197893,4.302,12.415,275447,1.865,24.83,57800,61154,305304
2004,44-45,656938,1033449,15385666,15146377,98765,9.575,94819,9.193,2227787,736164,1491623,4.86,14.708,1752305,627320,1124985,4.142,11.569,475482,3.139,23.138,60093,64199,312271
2005,44-45,654513,1035589,15307059,15330880,101841,9.864,95579,9.257,1953349,762327,1191022,4.972,12.741,2003985,586472,1417513,3.825,13.072,-50636,-0.33,25.483,63045,66063,311438
2006,44-45,648867,1039573,15729778,15527090,109492,10.567,102602,9.902,2229533,944306,1285227,6.082000000000002,14.359000000000002,1833175,591485,1241690,3.809,11.806,396358,2.553,23.613000000000003,71960,75040,339357
2007,44-45,643244,1044970,15605976,15632897,108876,10.464,99973,9.608,2181392,855720,1325672,5.474,13.954,2231900,658041,1573859,4.209,14.277,-50508,-0.32299999999999995,27.908,62713,65465,321257
2008,44-45,629485,1032075,15559633,15577753,86403,8.33,96670,9.32,1911918,665402,1246516,4.271,12.273,1956354,575772,1380582,3.696,12.559,-44436,-0.285,24.547,63566,66501,303328
2009,44-45,609662,1010298,14730893,15156654,77308,7.563,101054,9.886,1428417,591617,836800,3.903,9.424,2285868,667238,1618630,4.402,15.082,-857451,-5.657,18.849,65177,69195,368015
2010,44-45,598835,996114,14446093,14583102,74581,7.439,87505,8.728,1424791,491558,933233,3.3710000000000004,9.77,1692103,511517,1180586,3.508,11.603,-267312,-1.833,19.54,55024,59802,305769
2011,44-45,591871,995918,14637506,14539942,81784,8.215,81032,8.139,1622972,527722,1095250,3.629,11.162,1425800,427572,998228,2.9410000000000003,9.806,197172,1.356,19.612,53005,55563,225179
2012,44-45,589832,989977,14753922,14646035,80906,8.177999999999999,79586,8.045,1716897,531844,1185053,3.631,11.723,1500022,459662,1040360,3.138,10.242,216875,1.481,20.484,47718,50627,224456
2013,44-45,589106,993254,14990679,14879268,78203,7.885,75227,7.585,1632621,510239,1122382,3.429,10.972,1405447,428116,977331,2.877,9.446,227174,1.527,18.891,47904,49999,211019
2014,44-45,588352,995767,15342752,15161813,77694,7.819,73549,7.402,1591538,517946,1073592,3.4160000000000004,10.497,1234780,374142,860638,2.468,8.144,356758,2.353,16.288,48074,50141,202622
2015,44-45,586958,1000072,15702791,15506795,78339,7.854,73031,7.322,1713620,647546,1066074,4.176,11.050999999999998,1321078,402085,918993,2.593,8.519,392542,2.531,17.039,48608,51513,223529
2016,44-45,587648,1006101,15981768,15840848,79886,7.97,72398,7.223,1736764,591111,1145653,3.732,10.964,1459290,447302,1011988,2.824,9.212,277474,1.7519999999999998,18.424,47760,51106,225909
2017,44-45,583728,995473,15712204,15734487,73815,7.39,80703,8.079,1694506,525770,1168736,3.342,10.769,1736693,561049,1175644,3.5660000000000003,11.037,-42187,-0.268,21.539,49359,52226,237654
2018,44-45,579166,984771,15778845,15779999,66532,6.72,77058,7.782999999999999,1614855,465341,1149514,2.949,10.234,1623598,530202,1093396,3.36,10.289,-8743,-0.055,20.467,51397,55244,257135
1978,48-49,90142,109831,2428438,2343630,19083,17.643,15739,14.552,561680,194681,366999,8.307,23.966,393763,160296,233467,6.84,16.801,167917,7.165,33.603,10788,10839,56548
1979,48-49,93327,113543,2582118,2491264,19519,17.766,12162,11.07,513456,171660,341796,6.89,20.61,330884,115428,215456,4.633,13.282,182572,7.3279999999999985,26.564,8155,8201,35103
1980,48-49,93447,114790,2562411,2561565,17964,15.973,13310,11.835,419021,163517,255504,6.382999999999999,16.358,417825,108399,309426,4.232,16.311,1196,0.047,32.623000000000005,9773,9870,41575
1981,48-49,93320,115524,2504270,2523488,16275,14.303,12805,11.253,351022,127359,223663,5.047,13.91,389156,93095,296061,3.689,15.421,-38134,-1.511,27.82,8863,8914,36912
1982,48-49,91659,114826,2456691,2459872,16413,14.842,7937,7.1770000000000005,369046,139205,229841,5.659,15.003,375405,70199,305206,2.854,15.261,-6359,-0.259,30.005,5418,5494,30163
1983,48-49,92940,116022,2382703,2358194,17209,15.885,1832,1.6909999999999998,370862,129322,241540,5.484,15.727,322047,23920,298127,1.014,13.657,48815,2.07,27.313,994,1013,5986
1984,48-49,96465,119829,2514604,2394468,19379,17.357,3025,2.709,477857,134798,343059,5.63,19.957,238722,22676,216046,0.947,9.97,239135,9.987,19.939,2094,2103,9176
1985,48-49,98048,121634,2605301,2497950,19409,17.022000000000002,4193,3.677,475501,135783,339718,5.436,19.036,261379,31478,229901,1.26,10.464,214122,8.572000000000001,20.927,3156,3165,14531
1986,48-49,97628,121744,2644220,2567750,18830,16.436,4478,3.909,475785,157482,318303,6.132999999999999,18.529,322189,32557,289632,1.268,12.548,153596,5.982,25.095,3242,3247,15423
1987,48-49,101786,126311,2811086,2677310,22013,18.726,4499,3.827,572860,188735,384125,7.049,21.397,305260,44844,260416,1.675,11.402,267600,9.995,22.803,3220,3225,17872
1988,48-49,105309,132458,3000422,2909754,22837,17.688,16144,12.504,627802,220068,407734,7.563,21.576,442110,139096,303014,4.78,15.194,185692,6.3820000000000014,30.388,11826,11975,68217
1989,48-49,107530,135293,3084524,3021849,21395,16.129,16112,12.146,581813,198283,383530,6.562,19.254,459579,147384,312195,4.877,15.209,122234,4.045,30.417,11671,11897,70824
1990,48-49,109167,137514,3216853,3132329,20819,15.402,16141,11.941,582915,184932,397983,5.904,18.61,411932,124779,287153,3.984,13.151,170983,5.459,26.302,12145,12321,75526
1991,48-49,109144,138656,3187476,3178500,20874,15.245,17403,12.71,537378,189897,347481,5.974,16.907,517733,167063,350670,5.256,16.289,19645,0.618,32.577,12402,12621,96630
1992,48-49,111791,142510,3158399,3145872,20999,15.01,15775,11.276,514506,177730,336776,5.65,16.355,492185,123424,368761,3.923,15.645,22321,0.71,31.291,11287,11446,66634
1993,48-49,115663,146094,3202491,3180358,21201,14.692,17628,12.216,499140,143177,355963,4.502,15.694,454596,146373,308223,4.602,14.294,44544,1.401,28.588,12456,12659,79041
1994,48-49,119386,150997,3314878,3260593,23061,15.522,18202,12.252,528131,173339,354792,5.316,16.197,420513,148712,271801,4.561,12.897,107618,3.301,25.794,13228,13507,78077
1995,48-49,124547,157347,3496980,3401358,24595,15.965,18012,11.692,592053,182124,409929,5.354,17.406,402716,138574,264142,4.074,11.84,189337,5.567,23.68,13384,13648,79856
1996,48-49,127546,160858,3606274,3542020,23834,15.005999999999998,19785,12.456,584987,187791,397196,5.3020000000000005,16.516,456706,171318,285388,4.837,12.894,128281,3.622,25.788,14404,14649,83568
1997,48-49,130228,164285,3740663,3682110,24971,15.35,21750,13.37,643200,219265,423935,5.955,17.468,526727,185884,340843,5.048,14.305,116473,3.1630000000000003,28.61,15419,15688,96795
1998,48-49,133886,169745,3892379,3825242,25371,15.172,20320,12.152,647473,239733,407740,6.267,16.926,515275,177065,338210,4.629,13.47,132198,3.4560000000000004,26.941,14304,14652,82383
1999,48-49,137230,173526,4043102,3953861,25075,14.637,20651,12.054,675631,244966,430665,6.1960000000000015,17.088,495454,178591,316863,4.517,12.531,180177,4.557,25.062,14698,15095,94340
2000,48-49,138209,175689,4215303,4116948,24845,14.227,22728,13.015,728913,228015,500898,5.5379999999999985,17.705,534196,210081,324115,5.103,12.976,194717,4.73,25.951,15649,16258,90239
2001,48-49,139189,178099,4211720,4217457,24884,14.036,23261,13.12,620422,219057,401365,5.194,14.711,630735,208003,422732,4.932,14.955,-10313,-0.245,29.422,15972,16399,100993
2002,48-49,138587,177187,4032124,4111446,24071,13.517,25865,14.524,590102,229132,360970,5.573,14.353,746899,236613,510286,5.755,18.166,-156797,-3.814,28.705,16856,17427,122954
2003,48-49,138883,179132,3973002,4006904,25897,14.543,23777,13.352,734897,370336,364561,9.242,18.341,800537,225073,575464,5.617000000000001,19.979,-65640,-1.638,36.682,15904,16139,89650
2004,48-49,140478,182066,4116880,4055906,25427,14.078,22531,12.474,653540,243229,410311,5.997000000000001,16.113,533492,184779,348713,4.556,13.153,120048,2.96,26.307,15439,15702,85779
2005,48-49,143966,186131,4157775,4148328,26213,14.225,22497,12.209,575081,208616,366465,5.029,13.863,553483,164103,389380,3.956,13.342,21598,0.521,26.685,15281,15556,79378
2006,48-49,147841,191504,4323598,4247556,29795,15.79,24189,12.819,669587,253352,416235,5.965,15.764,518906,174740,344166,4.114,12.217,150681,3.547,24.433000000000003,17084,17409,89249
2007,48-49,150091,195277,4419528,4384941,28111,14.53,24494,12.66,691621,230126,461495,5.247999999999998,15.773,622508,217781,404727,4.967,14.196,69113,1.5759999999999998,28.393,16344,16537,81326
2008,48-49,148214,193994,4425269,4429225,25206,12.945,26639,13.681,578839,168645,410194,3.808,13.069,583581,193636,389945,4.372,13.175999999999998,-4742,-0.107,26.137,17891,18035,87823
2009,48-49,143145,189017,4156827,4303225,22142,11.543,27747,14.465,448428,175807,272621,4.085,10.421,745330,212354,532976,4.935,17.32,-296902,-6.9,20.841,18296,18676,109989
2010,48-49,139631,185309,4012676,4087386,21019,11.23,24736,13.216,464277,153927,310350,3.766,11.359000000000002,611471,198192,413279,4.849,14.96,-147194,-3.6010000000000004,22.718000000000004,15592,15874,76697
2011,48-49,142473,187838,4113946,4060877,25394,13.628,22402,12.022,530751,163332,367419,4.022,13.07,420394,141861,278533,3.4930000000000003,10.352,110357,2.718,20.705,14519,14707,64422
2012,48-49,145703,191075,4222973,4175028,24461,12.923,20864,11.023,525798,154324,371474,3.696,12.594,428503,138398,290105,3.315,10.263,97295,2.33,20.527,13659,13863,67887
2013,48-49,147304,192223,4275758,4248296,23052,12.025,22000,11.476,560760,156378,404382,3.681,13.2,507403,206389,301014,4.8580000000000005,11.944,53357,1.256,23.887,13857,14026,69233
2014,48-49,149358,195474,4405371,4341057,24039,12.4,20807,10.733,558459,166622,391837,3.838,12.865,429072,142381,286691,3.28,9.884,129387,2.9810000000000003,19.768,14106,14300,68198
2015,48-49,153823,201861,4595452,4501682,27581,13.882,21232,10.686,651601,205895,445706,4.574,14.475,463345,172785,290560,3.838,10.293,188256,4.182,20.585,14046,14230,66724
2016,48-49,156766,206486,4721293,4659241,26859,13.152,22326,10.932,608474,184366,424108,3.957,13.06,485725,185819,299906,3.988,10.425,122749,2.635,20.85,15840,16096,108322
2017,48-49,157518,207654,4886006,4800013,25017,12.079,23931,11.555,674245,204738,469507,4.265,14.047,496780,165784,330996,3.454,10.35,177465,3.697,20.699,16966,17231,79085
2018,48-49,161648,211736,4979595,4891986,26521,12.653,22267,10.623,641848,180388,461460,3.687,13.12,465629,145305,320324,2.97,9.518,176219,3.602,19.036,16976,17227,83266
1978,51,38383,62803,2136318,2075151,8442,13.671,6342,10.27,389064,102024,287040,4.916,18.749,266549,91690,174859,4.418,12.845,122515,5.904,25.69,3372,3490,31255
1979,51,40404,64460,2246347,2194700,8214,12.936,6290,9.906,419888,94471,325417,4.305,19.132,316617,93078,223539,4.2410000000000005,14.425999999999998,103271,4.705,28.853,2955,2988,21415
1980,51,41689,66445,2328330,2282108,8478,13.009,5925,9.092,499924,99432,400492,4.357,21.906,408395,68039,340356,2.9810000000000003,17.896,91529,4.011,35.791,3471,3587,30998
1981,51,44992,70029,2391364,2357670,9525,13.997,5566,8.179,454255,99807,354448,4.2330000000000005,19.267,389686,60210,329476,2.5540000000000003,16.528,64569,2.739,33.056999999999995,3045,3135,20265
1982,51,46476,72127,2463438,2429886,9437,13.355,6508,9.21,335142,108542,226600,4.467,13.793,272154,57972,214182,2.386,11.2,62988,2.592,22.401,4249,4327,28251
1983,51,47992,71838,2471574,2365733,9979,14.257,6288,8.984,714741,118131,(S),4.993,30.212,498635,60169,438466,2.543,21.077,216106,9.135,42.155,3969,4074,27232
1984,51,49831,76451,2559157,2450398,13641,18.722,6459,8.865,629399,356692,272707,14.556,25.686,401638,59264,342374,2.419,16.391,227761,9.295,32.781,4316,4403,27648
1985,51,50828,78162,2589512,2538094,11999,15.812,7446,9.812,504794,213970,290824,8.43,19.889,405714,105247,300467,4.147,15.985,99080,3.904,31.97,5124,5222,40722
1986,51,50075,75878,2524676,2495899,10156,13.573,8045,10.752,404713,134047,270666,5.371,16.215,351421,91264,260157,3.657,14.08,53292,2.135,28.16,5250,5334,36153
